,Scoring Criteria Weights,,,"// the weights are multiplied with the score returned by the evaluation criteria [0, 1.f]",,,,,
,Overall,Potential,Age,Position,Free Agents,Pre Contract,Loan Listed,Transfer Listed,Monitored
Improve squad,1.3,0,1,1,1.5,1.2,0,1.5,2
Next big thing,0.8,2,0.5,1,1.5,1.2,0,1.1,2
Loans,1.5,1,0.5,1,0,0,2,0,1
,,,,,,,,,
,Position Penalty,,,,,,,,
,Preffered 1,Preffered 2,Preffered 3,Preffered 4,,,,,
Penalty,0,1,1,1,,// the penalty is substracted from 1.f // [AS] This functionality is commented out untill WPA is changed,,,
,,,,,,,,,
Num Total Picked Players,10,,// The total number of players picked for the shortlist,,,,,,
Num Shortlisted Players,5,,// The number of random players which actually get picked,,,,,,
Big Thing or Loan Overall Threshold,79,,,,,,,,
Max Age Improve Squad,35,,,,,,,,
Max Age Next Big Thing,24,,,,,,,,
Max Age Loan,31,,,,,,,,
,,,,,,,,,
Improve Squad Overall Min Threshold,1,,// relative weakest area average ,,,,,,
Improve Squad Overall Max Threshold,1.02,,,,,,,,
,,,,,,,,,
Improve Squad Bias Overall,70,80,100,,// Overall values lower than this value get the respective bias,,,,
Improve Squad Bias Value,0,0,0,,// This value is added to the improve squad overall max threshold,,,,
,,,,,,,,,
Loan Overall Min Threshold,0.98,,// relative weakest area average ,,,,,,
Loan Overall Max Threshold,1.02,,,,,,,,
,,,,,,,,,
Next Big Thing Overall Min Threshold,0.98,,// relative weakest area average ,,,,,,
Next Big Thing Overall Max Threshold,1.02,,,,,,,,
,,,,,,,,,
Next Big Thing Potential Min Threshold,0.96,,// relative weakest area average ,,,,,,
Next Big Thing Potential Max Threshold,1.2,,,,,,,,
,,,,,,,,,
Random Activity Chance Inside Deadline Day,30,,// Change to generate transfer activity for players that are not transfer / loan listed,,,,,,
Random Activity Chance Inside Transfer Window,15,,,,,,,,
Random Activity Chance Outside Transfer Window,0,,,,,,,,
,,,,,,,,,
Listed Activity Chance,35,,// Chance to generate transfer activity for players that are transfer / loan listed,,,,,,
Listed Activity Chance - PAP ,50,,,,,,,,
Transfer Listed VS Loan Listed Chance,50,,,,,,,,
,,,,,,,,,
Max Number Of Teams To Search,5,,// The max number of suitable teams we search for - we do a random to pick amongst these,,,,,,
Min Days Between Offers,3,,// The min number of days before generating a new offer for the listed players,,,,,,
Max Attempts To Find Suitable Team,2,,// Max number of attempts to find suitable teams,,,,,,
Overall Difference Per Attempt Transfer,4,,// Difference to the users team overall - this gets multiplied by each attempt number,,,,,,
Overall Difference Per Attempt Loan,8,,,,,,,,
,,,,,,,,,
Normal Bucket Rank Difference Threshold,1,,// The bucket rank difference between the teams,,,,,,
Top / bottom Bucket Rank Difference Threshold,2,,// The bucket rank difference between the teams - only used for first and last bucket to increase the range,,,,,,
