,Scoring Criteria Weights,,,"// the weights are multiplied with the score returned by the evaluation criteria [0, 1.f]",,,,,
,Overall,Potential,Age,Position,Free Agents,Pre Contract,Loan Listed,Transfer Listed,Monitored
Improve squad,1.3,0.2,0,1,1,1,0,0.25,1
Next big thing,0.8,1.8,0.5,1,1,1,0,1.1,2
Loans,1.2,0.8,0.1,1,0,0,4,0.1,0.5
,,,,,,,,,
,Position Penalty,,,,,,,,
,Preffered 1,Preffered 2,Preffered 3,Preffered 4,,,,,
Penalty,0,0,1,1,,// the penalty is substracted from 1.f // [AS] This functionality is commented out untill WPA is changed,,,
,,,,,,,,,
Num Total Picked Players,10,,// The total number of players picked for the shortlist,,,,,,
Num Shortlisted Players,7,,// The number of random players which actually get picked,,,,,,
Big Thing or Loan Overall Threshold,79,,,,,,,,
Max Age Improve Squad,35,,,,,,,,
Max Age Next Big Thing,24,,,,,,,,
Max Age Loan,31,,,,,,,,
,,,,,,,,,
Improve Squad Overall Min Threshold,0.97,,// relative weakest area average ,,,,,,
Improve Squad Overall Max Threshold,1.03,,,,,,,,
,,,,,,,,,
Improve Squad Bias Overall,81,84,100,,// Overall values lower than this value get the respective bias,,,,
Improve Squad Bias Value,0,0.02,0.03,,// This value is added to the improve squad overall max threshold,,,,
,,,,,,,,,
Loan Overall Min Threshold,0.97,,// relative weakest area average ,,,,,,
Loan Overall Max Threshold,1.03,,,,,,,,
,,,,,,,,,
Next Big Thing Overall Min Threshold,0.98,,// relative weakest area average ,,,,,,
Next Big Thing Overall Max Threshold,1.02,,,,,,,,
,,,,,,,,,
Next Big Thing Potential Min Threshold,0.96,,// relative weakest area average ,,,,,,
Next Big Thing Potential Max Threshold,1.2,,,,,,,,
,,,,,,,,,
Random Activity Chance Inside Deadline Day,100,,// Change to generate transfer activity for players that are not transfer / loan listed,,,,,,
Random Activity Chance Inside Transfer Window,75,,,,,,,,
Random Activity Chance Outside Transfer Window,75,,,,,,,,
,,,,,,,,,
Listed Activity Chance,100,,// Chance to generate transfer activity for players that are transfer / loan listed,,,,,,
Listed Activity Chance - PAP ,90,,,,,,,,
Transfer Listed VS Loan Listed Chance,45,,,,,,,,
,,,,,,,,,
Max Number Of Teams To Search,15,,// The max number of suitable teams we search for - we do a random to pick amongst these,,,,,,
Min Days Between Offers,2,,// The min number of days before generating a new offer for the listed players,,,,,,
Max Attempts To Find Suitable Team,4,,// Max number of attempts to find suitable teams,,,,,,
Overall Difference Per Attempt Transfer,1,,// Difference to the users team overall - this gets multiplied by each attempt number,,,,,,
Overall Difference Per Attempt Loan,5,,,,,,,,
,,,,,,,,,
Normal Bucket Rank Difference Threshold,1,,// The bucket rank difference between the teams,,,,,,
Top / bottom Bucket Rank Difference Threshold,2,,// The bucket rank difference between the teams - only used for first and last bucket to increase the range,,,,,,
